date,regime_label,proba_up,position,turnover,cost,market_return,strategy_return,equity,benchmark_equity
2023-05-25,Low Volatility,0.6610988974571228,1,0,0.0,0.012964680931640788,0.012964680931640788,0.9826337088447185,1.6609596959779285
2023-05-26,Low Volatility,0.6122223138809204,1,0,0.0,1.660313066576836e-05,1.660313066576836e-05,0.9826500237760221,1.660987273337726
2023-05-30,Low Volatility,0.31112539768218994,0,1,0.0007,-0.006127358186214099,-0.0007,0.9819624094524697,1.6508409262675892
2023-05-31,Low Volatility,0.6243613362312317,1,1,0.0007,0.009806215085853812,0.009106215085853813,0.9909452079332746,1.667109061515447
2023-06-01,Low Volatility,0.762482762336731,1,0,0.0,0.014429812390107408,0.014429812390107408,1.0053480264457182,1.691339532646676
2023-06-02,Low Volatility,0.6431782841682434,1,0,0.0,-0.002005591490657713,-0.002005591490657713,1.0033337296022253,1.6879507958189635
2023-06-05,Low Volatility,0.8133155107498169,1,0,0.0,0.002351130233850576,0.002351130233850576,1.0056954731639418,1.6919240569651826
2023-06-06,Low Volatility,0.7109470963478088,1,0,0.0,-0.003819293926420617,-0.003819293926420617,1.0018617522651383,1.6854744260486094
2023-06-07,Low Volatility,0.9040674567222595,1,0,0.0,0.00616957160752325,0.00616957160752325,1.008061916598785,1.695905224906868
2023-06-08,Bull,0.4975264370441437,0,1,0.0007,0.0011474010230505239,-0.0007,1.0073565201747179,1.6978522250783104
2023-06-09,Bull,0.4041725695133209,0,0,0.0,0.00927797498175416,0.0,1.0073565201747179,1.7136781583260576
2023-06-12,Bull,0.3848108649253845,0,0,0.0,0.006908570725908897,0.0,1.0073565201747179,1.7255582149387132
2023-06-13,Bull,0.5105283856391907,1,1,0.0007,0.0008190899801265841,0.00011908998012658413,1.0074764933863478,1.7269721813865158
2023-06-14,Bull,0.563016414642334,1,0,0.0,0.012104580493589997,0.012104580493589997,1.0197456805705758,1.7480034859325566
2023-06-15,Bull,0.4821763038635254,0,1,0.0007,-0.0036783764677510893,-0.0007,1.0190321083735827,1.7415854821978496
2023-06-16,Bull,0.42258116602897644,0,0,0.0,-0.004746353835236048,-0.0,1.0190321083735827,1.7333388873750262
2023-06-20,Bull,0.5543419718742371,1,1,0.0007,-0.005259086366925201,-0.005959086366925201,1.0129776654198008,1.724247036831974
